,country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion,deathsPerOneMillion,totalTests,testsPerOneMillion
89,Uzbekistan,79886,50,622,0,78442.0,822.0,27,2364,18,1377915,40781
90,Zambia,78534,332,1091,10,74498.0,2945.0,251,4195,58,1087439,58091
91,Montenegro,75834,502,1003,4,66226.0,8605.0,68,120732,1597,281114,447549
92,Norway,70887,61,622,0,63783.0,6482.0,21,13009,114,3825778,702083
93,Estonia,65600,1201,589,5,49908.0,15103.0,42,49430,444,934681,704290
94,Singapore,59936,11,29,0,59823.0,84.0,1,10192,5,7290760,1239784
95,El Salvador,59866,0,1854,7,55312.0,2700.0,43,9199,285,761858,117068
96,Mozambique,59350,578,641,11,41096.0,17613.0,0,1865,20,423338,13302
97,Finland,57672,620,742,0,46000.0,10930.0,38,10398,134,3316327,597923
98,Uruguay,57362,0,603,0,49466.0,7293.0,71,16475,173,1012294,290749
99,Afghanistan,55733,19,2444,1,49333.0,3956.0,1066,1411,62,298149,7548
100,Luxembourg,55435,122,638,1,51487.0,3310.0,20,87622,1008,2123248,3356060
101,Cuba,49779,618,322,4,45242.0,4215.0,55,4397,28,2392132,211281
102,Uganda,40357,22,334,0,14666.0,25357.0,0,865,7,880395,18860
103,Namibia,38845,203,424,4,36261.0,2160.0,20,15108,165,302912,117815
104,Zimbabwe,36089,31,1463,0,32666.0,1960.0,41,2405,98,338614,22567
105,Cameroon,35714,0,551,0,32594.0,2569.0,53,1324,20,149000,5523
106,Senegal,34520,265,872,7,28894.0,4754.0,52,2027,51,388952,22837
107,Cyprus,34424,0,231,0,2057.0,32136.0,20,28376,190,1928773,1589883
108,Ivory Coast,32754,123,192,0,32624.0,-62.0,0,1222,7,423731,15808
109,Malawi,31945,147,1044,3,18874.0,12027.0,4,1642,54,197924,10175
110,Australia,28970,5,909,0,26168.0,1893.0,0,1127,35,14346034,558330
111,Botswana,28371,0,310,0,23244.0,4817.0,1,11907,130,805587,338096
112,Sudan,28334,0,1880,0,22887.0,3567.0,0,636,42,0,0
113,Thailand,25951,70,83,0,25128.0,740.0,1,371,1,1217873,17419
114,DRC,25913,121,707,0,18951.0,6255.0,0,284,8,0,0
115,Jamaica,23263,446,422,5,13410.0,9431.0,22,7833,142,210450,70866
116,Malta,22482,263,315,2,19447.0,2720.0,18,50827,712,698239,1578583
